Recency,Frequency,Monetary,Segments
16,6,347.3299999999999,Medium Value Customer
171,1,235.11999999999992,Low Value Customer
177,2,145.45,Low Value Customer
251,1,55.8,Low Value Customer
55,1,40.13000000000001,Medium Value Customer
105,4,107.1,Medium Value Customer
154,2,24.9,Low Value Customer
52,1,66.48,Medium Value Customer
15,5,132.76999999999998,Medium Value Customer
176,1,72.79,Low Value Customer
13,2,56.05,Medium Value Customer
270,1,26.7,Low Value Customer
7,2,103.17000000000002,Medium Value Customer
63,1,15.77,Medium Value Customer
171,1,25.6,Low Value Customer
112,2,74.46000000000001,Medium Value Customer
142,1,149.92000000000002,Low Value Customer
84,6,297.8,Medium Value Customer
35,1,99.79,Medium Value Customer
107,2,133.51,Medium Value Customer
23,4,175.75,Medium Value Customer
77,3,136.80999999999997,Medium Value Customer
25,1,46.84999999999999,Medium Value Customer
10,3,65.85000000000001,Medium Value Customer
207,2,269.19,Low Value Customer
176,2,62.13,Low Value Customer
20,2,60.0,Medium Value Customer
143,3,83.35,Low Value Customer
41,2,62.38999999999999,Medium Value Customer
100,1,62.1,Medium Value Customer
39,7,283.42999999999995,Medium Value Customer
253,1,16.29,Low Value Customer
36,9,58.45,Medium Value Customer
163,2,114.84,Low Value Customer
7,6,157.05999999999997,Medium Value Customer
192,1,34.940000000000005,Low Value Customer
105,2,34.67,Medium Value Customer
69,41,2212.1400000000003,Medium Value Customer
31,11,930.2,Medium Value Customer
211,1,263.4699999999999,Low Value Customer
15,9,693.09,Medium Value Customer
9,13,574.29,Medium Value Customer
79,3,145.99999999999994,Medium Value Customer
11,17,681.69,Medium Value Customer
46,2,32.05,Medium Value Customer
24,19,380.29,Medium Value Customer
84,2,204.21,Medium Value Customer
324,1,15.58,Low Value Customer
29,1,43.61,Medium Value Customer
317,1,63.55,Low Value Customer
23,4,338.45,Medium Value Customer
119,1,99.5,Medium Value Customer
69,5,260.75,Medium Value Customer
203,4,429.85,Low Value Customer
14,4,155.85000000000002,Medium Value Customer
78,4,250.35,Medium Value Customer
25,1,101.52,Medium Value Customer
100,1,57.25000000000001,Medium Value Customer
335,1,42.12,Low Value Customer
261,1,24.0,Low Value Customer
67,2,363.43,Medium Value Customer
21,5,177.4,Medium Value Customer
150,1,1.16,Low Value Customer
20,2,266.76,Medium Value Customer
116,2,118.12,Medium Value Customer
39,6,731.6300000000001,Medium Value Customer
15,3,109.0,Medium Value Customer
323,1,95.32,Low Value Customer
17,3,281.53000000000003,Medium Value Customer
81,1,24.37,Medium Value Customer
7,11,962.07,Medium Value Customer
39,2,104.18,Medium Value Customer
27,2,147.72,Medium Value Customer
36,2,198.83,Medium Value Customer
43,8,250.80000000000004,Medium Value Customer
23,2,148.42,Medium Value Customer
25,1,61.650000000000006,Medium Value Customer
23,4,127.33,Medium Value Customer
29,1,102.04000000000002,Medium Value Customer
154,3,1.18,Low Value Customer
38,1,59.58,Medium Value Customer
217,1,98.35,Low Value Customer
23,2,42.05,Medium Value Customer
301,1,63.06,Low Value Customer
55,1,69.19999999999999,Medium Value Customer
64,1,47.02,Medium Value Customer
70,1,93.59,Medium Value Customer
218,2,181.08,Low Value Customer
37,2,105.26,Medium Value Customer
66,3,168.7,Medium Value Customer
21,5,103.97,Medium Value Customer
193,1,672.3500000000001,Low Value Customer
10,8,131.83999999999995,Medium Value Customer
42,1,9.55,Medium Value Customer
14,3,256.97,Medium Value Customer
84,3,297.97,Medium Value Customer
42,4,146.05,Medium Value Customer
213,3,77.5,Low Value Customer
8,39,1827.1,Medium Value Customer
32,2,133.54999999999998,Medium Value Customer
35,8,86.28,Medium Value Customer
234,1,1.89,Low Value Customer
53,4,644.49,Medium Value Customer
36,1,14.19,Medium Value Customer
20,7,180.23,Medium Value Customer
34,17,106.91,Medium Value Customer
181,8,195.11,Low Value Customer
22,5,604.3399999999999,Medium Value Customer
378,1,3.39,Low Value Customer
17,8,398.35,Medium Value Customer
105,5,227.58,Medium Value Customer
21,5,19.76,Medium Value Customer
366,1,44.440000000000005,Low Value Customer
7,1,87.55,Medium Value Customer
200,2,107.8,Low Value Customer
298,1,75.58,Low Value Customer
78,1,66.35,Medium Value Customer
15,1,50.33,Medium Value Customer
372,2,14.4,Low Value Customer
24,14,1580.9,Medium Value Customer
28,9,348.65000000000003,Medium Value Customer
164,1,130.36,Low Value Customer
280,1,31.15,Low Value Customer
326,3,42.29,Low Value Customer
183,5,887.0500000000001,Low Value Customer
42,2,211.59,Medium Value Customer
126,1,14.45,Medium Value Customer
55,4,143.48999999999998,Medium Value Customer
21,1,65.05,Medium Value Customer
7,5,313.94,Medium Value Customer
79,1,94.17,Medium Value Customer
13,2,174.91,Medium Value Customer
244,1,22.95,Low Value Customer
22,6,475.86,Medium Value Customer
8,32,301.4600000000001,Medium Value Customer
55,4,231.12,Medium Value Customer
55,1,25.25,Medium Value Customer
207,1,111.96,Low Value Customer
78,6,446.11,Medium Value Customer
20,7,203.57,Medium Value Customer
143,3,160.61999999999998,Medium Value Customer
27,5,423.41,Medium Value Customer
371,1,111.29999999999998,Low Value Customer
28,9,74.22000000000001,Medium Value Customer
36,7,447.12,Medium Value Customer
240,1,32.39000000000001,Low Value Customer
70,10,395.30000000000007,Medium Value Customer
62,3,154.87999999999997,Medium Value Customer
139,10,74.8,Medium Value Customer
59,4,27.3,Medium Value Customer
31,1,70.54,Medium Value Customer
367,1,27.3,Low Value Customer
87,4,118.29,Medium Value Customer
17,1,126.1,Medium Value Customer
36,4,122.04,Medium Value Customer
134,3,91.38,Medium Value Customer
367,1,127.3,Low Value Customer
46,20,1682.02,Medium Value Customer
58,2,52.52,Medium Value Customer
28,18,1082.2000000000005,Medium Value Customer
73,2,116.12,Medium Value Customer
221,1,65.95,Low Value Customer
39,2,58.44000000000001,Medium Value Customer
314,1,7.8,Low Value Customer
16,2,21.410000000000004,Medium Value Customer
14,1,12.65,Medium Value Customer
71,3,185.07,Medium Value Customer
13,17,985.94,Medium Value Customer
74,1,358.56,Medium Value Customer
80,6,523.4200000000001,Medium Value Customer
55,7,475.64,Medium Value Customer
21,6,231.94,Medium Value Customer
204,2,134.36,Low Value Customer
16,8,441.96000000000015,Medium Value Customer
71,1,25.3,Medium Value Customer
170,1,175.87999999999997,Low Value Customer
112,2,145.67000000000002,Medium Value Customer
373,1,26.59,Low Value Customer
130,4,62.98,Medium Value Customer
16,2,12.55,Medium Value Customer
10,1,184.33,Medium Value Customer
49,5,1016.37,Medium Value Customer
34,7,420.46,Medium Value Customer
71,1,4.05,Medium Value Customer
11,2,50.51,Medium Value Customer
73,1,34.34,Medium Value Customer
326,1,57.95,Low Value Customer
41,9,575.74,Medium Value Customer
226,4,302.1899999999999,Low Value Customer
92,4,133.87,Medium Value Customer
240,3,538.08,Low Value Customer
134,10,1228.71,Medium Value Customer
43,2,104.33,Medium Value Customer
98,1,64.44,Medium Value Customer
15,17,1082.66,Medium Value Customer
78,5,260.71,Medium Value Customer
31,2,25.790000000000003,Medium Value Customer
8,18,1704.12,Medium Value Customer
220,1,20.2,Low Value Customer
62,6,801.3800000000001,Medium Value Customer
263,1,52.75,Low Value Customer
71,1,161.76999999999995,Medium Value Customer
193,1,73.78999999999999,Low Value Customer
172,3,79.84,Low Value Customer
55,9,833.47,Medium Value Customer
122,1,27.500000000000004,Medium Value Customer
192,2,88.55,Low Value Customer
15,5,264.22,Medium Value Customer
51,2,88.30000000000001,Medium Value Customer
11,15,1257.14,Medium Value Customer
101,3,48.8,Medium Value Customer
254,1,49.27,Low Value Customer
53,2,62.08,Medium Value Customer
153,3,108.2,Low Value Customer
99,1,35.85,Medium Value Customer
8,8,501.64,Medium Value Customer
8,32,1682.02,Medium Value Customer
59,1,27.69,Medium Value Customer
43,3,47.79999999999999,Medium Value Customer
13,18,2657.35,Medium Value Customer
66,9,100.0,Medium Value Customer
67,1,2.54,Medium Value Customer
133,1,0.85,Medium Value Customer
321,6,211.05,Low Value Customer
24,1,184.93,Medium Value Customer
368,1,85.77000000000001,Low Value Customer
59,1,83.12,Medium Value Customer
10,103,3953.08,High Value Customer
7,12,494.4200000000001,Medium Value Customer
371,1,31.81,Low Value Customer
56,7,425.05000000000007,Medium Value Customer
15,48,2375.4300000000003,Medium Value Customer
10,2,10.28,Medium Value Customer
30,17,2137.63,Medium Value Customer
140,3,107.64,Medium Value Customer
7,14,581.8500000000001,Medium Value Customer
79,2,44.32,Medium Value Customer
57,3,21.95,Medium Value Customer
55,1,20.4,Medium Value Customer
55,5,231.3,Medium Value Customer
14,2,48.91,Medium Value Customer
193,1,72.65,Low Value Customer
79,5,492.1900000000001,Medium Value Customer
360,1,23.66,Low Value Customer
183,1,2.95,Low Value Customer
8,14,739.2,Medium Value Customer
372,1,89.53999999999999,Low Value Customer
21,6,447.32,Medium Value Customer
7,12,274.34,Medium Value Customer
18,4,355.9500000000001,Medium Value Customer
310,1,16.65,Low Value Customer
114,2,144.66999999999996,Medium Value Customer
27,1,163.25999999999996,Medium Value Customer
165,1,91.03,Low Value Customer
8,7,277.82,Medium Value Customer
273,1,8.5,Low Value Customer
94,2,20.25,Medium Value Customer
60,4,332.57,Medium Value Customer
101,1,25.35,Medium Value Customer
44,2,61.3,Medium Value Customer
133,1,54.25,Medium Value Customer
17,8,553.23,Medium Value Customer
28,8,1770.6099999999997,Medium Value Customer
14,2,124.51,Medium Value Customer
79,1,231.51,Medium Value Customer
8,3,216.26,Medium Value Customer
27,12,624.26,Medium Value Customer
226,1,62.75,Low Value Customer
73,1,9.25,Medium Value Customer
158,2,8.5,Low Value Customer
31,14,1539.2000000000005,Medium Value Customer
126,3,54.75,Medium Value Customer
267,2,362.19000000000005,Low Value Customer
59,7,485.85,Medium Value Customer
41,3,301.23999999999995,Medium Value Customer
10,3,211.11999999999995,Medium Value Customer
27,3,291.51,Medium Value Customer
51,5,299.44999999999993,Medium Value Customer
30,1,43.99000000000001,Medium Value Customer
142,1,144.39,Low Value Customer
22,11,416.25,Medium Value Customer
252,1,10.7,Low Value Customer
211,2,51.7,Low Value Customer
55,1,3.63,Medium Value Customer
56,1,77.34,Medium Value Customer
32,1,43.6,Medium Value Customer
184,1,157.70999999999998,Low Value Customer
204,1,28.85,Low Value Customer
42,1,1.45,Medium Value Customer
9,10,553.55,Medium Value Customer
11,10,2507.7300000000005,Medium Value Customer
224,2,145.9,Low Value Customer
72,1,39.400000000000006,Medium Value Customer
39,10,802.29,Medium Value Customer
260,1,70.84,Low Value Customer
249,1,15.05,Low Value Customer
23,1,53.07,Medium Value Customer
36,6,93.67,Medium Value Customer
266,3,16.1,Low Value Customer
186,3,43.35,Low Value Customer
300,1,110.83,Low Value Customer
177,4,273.56,Low Value Customer
63,1,16.3,Medium Value Customer
56,1,99.35,Medium Value Customer
85,3,230.65,Medium Value Customer
251,1,47.24,Low Value Customer
29,2,242.93,Medium Value Customer
8,25,175.83999999999995,Medium Value Customer
144,4,192.23,Medium Value Customer
36,7,297.05000000000007,Medium Value Customer
28,6,191.56,Medium Value Customer
373,1,215.23,Low Value Customer
42,13,1087.39,Medium Value Customer
93,2,29.75,Medium Value Customer
91,3,290.49,Medium Value Customer
156,5,150.64,Low Value Customer
23,7,226.16000000000005,Medium Value Customer
25,6,269.75999999999993,Medium Value Customer
59,7,436.44000000000005,Medium Value Customer
260,1,76.23,Low Value Customer
217,1,129.5,Low Value Customer
219,1,2.95,Low Value Customer
214,2,5.44,Low Value Customer
63,9,241.81,Medium Value Customer
35,1,30.5,Medium Value Customer
7,17,1647.59,Medium Value Customer
62,2,76.05,Medium Value Customer
314,2,186.73,Low Value Customer
29,1,128.64999999999998,Medium Value Customer
72,2,43.75,Medium Value Customer
79,4,227.05,Medium Value Customer
7,5,356.04999999999995,Medium Value Customer
53,1,104.07,Medium Value Customer
93,4,42.90000000000001,Medium Value Customer
91,4,400.73,Medium Value Customer
74,1,81.58999999999999,Medium Value Customer
35,5,362.07,Medium Value Customer
230,3,8.3,Low Value Customer
102,2,46.72,Medium Value Customer
44,1,38.290000000000006,Medium Value Customer
36,2,72.0,Medium Value Customer
72,2,78.43,Medium Value Customer
18,1,10.09,Medium Value Customer
15,2,73.15,Medium Value Customer
78,1,17.349999999999998,Medium Value Customer
21,2,17.099999999999998,Medium Value Customer
39,8,785.75,Medium Value Customer
31,2,158.94999999999996,Medium Value Customer
35,4,691.84,Medium Value Customer
84,1,106.09,Medium Value Customer
55,7,194.09,Medium Value Customer
8,18,727.03,Medium Value Customer
11,14,444.41,Medium Value Customer
51,1,71.45,Medium Value Customer
25,2,102.78,Medium Value Customer
39,3,644.0400000000001,Medium Value Customer
22,3,18.95,Medium Value Customer
41,3,117.34,Medium Value Customer
21,4,379.43,Medium Value Customer
81,1,53.66,Medium Value Customer
48,1,39.60000000000001,Medium Value Customer
209,2,40.75,Low Value Customer
242,2,139.66000000000005,Low Value Customer
242,1,185.86,Low Value Customer
245,3,161.87,Low Value Customer
151,3,41.76,Low Value Customer
365,1,54.3,Low Value Customer
56,10,911.34,Medium Value Customer
57,3,113.51999999999998,Medium Value Customer
34,6,243.05,Medium Value Customer
288,1,93.43999999999998,Low Value Customer
18,3,123.81,Medium Value Customer
65,5,87.33,Medium Value Customer
27,3,142.62000000000003,Medium Value Customer
65,2,248.77,Medium Value Customer
30,2,173.64999999999995,Medium Value Customer
168,1,12.75,Low Value Customer
42,1,17.54,Medium Value Customer
97,3,151.14,Medium Value Customer
14,7,432.08,Medium Value Customer
72,1,3.81,Medium Value Customer
129,2,44.79,Medium Value Customer
238,1,43.6,Low Value Customer
34,1,20.93,Medium Value Customer
22,2,74.58,Medium Value Customer
93,1,17.85,Medium Value Customer
121,7,256.81,Medium Value Customer
331,1,43.3,Low Value Customer
34,6,199.21,Medium Value Customer
27,13,782.441,Medium Value Customer
7,34,1743.48,Medium Value Customer
76,2,77.69999999999999,Medium Value Customer
70,8,180.5,Medium Value Customer
74,1,37.89,Medium Value Customer
7,13,636.1400000000001,Medium Value Customer
8,7,241.56000000000003,Medium Value Customer
97,3,118.25,Medium Value Customer
43,1,45.25,Medium Value Customer
53,3,136.97999999999996,Medium Value Customer
178,2,632.0400000000001,Low Value Customer
188,1,284.43,Low Value Customer
183,3,408.34,Low Value Customer
59,4,199.29,Medium Value Customer
104,6,11.35,Medium Value Customer
136,4,910.66,Medium Value Customer
45,1,128.45,Medium Value Customer
73,4,162.56,Medium Value Customer
114,2,150.89999999999998,Medium Value Customer
20,3,424.4,Medium Value Customer
51,1,97.59,Medium Value Customer
73,1,42.2,Medium Value Customer
56,2,51.120000000000005,Medium Value Customer
7,1,41.620000000000005,Medium Value Customer
13,1,145.38999999999996,Medium Value Customer
147,2,311.48,Low Value Customer
57,3,552.15,Medium Value Customer
56,2,52.75,Medium Value Customer
86,1,104.6,Medium Value Customer
38,2,263.38,Medium Value Customer
74,1,3.95,Medium Value Customer
21,6,494.03,Medium Value Customer
70,4,167.19999999999996,Medium Value Customer
32,4,285.8399999999999,Medium Value Customer
56,2,71.13999999999999,Medium Value Customer
59,1,137.91000000000005,Medium Value Customer
245,1,109.35,Low Value Customer
319,1,11.57,Low Value Customer
225,4,285.97,Low Value Customer
21,11,624.8599999999999,Medium Value Customer
42,2,96.82,Medium Value Customer
79,5,255.88,Medium Value Customer
90,1,68.55000000000001,Medium Value Customer
106,3,54.15000000000002,Medium Value Customer
224,1,45.24000000000001,Low Value Customer
14,3,156.13,Medium Value Customer
29,2,24.05,Medium Value Customer
123,3,65.20000000000002,Medium Value Customer
69,2,22.19,Medium Value Customer
220,3,213.15,Low Value Customer
15,44,851.6320000000001,Medium Value Customer
35,4,47.41,Medium Value Customer
262,1,144.89999999999998,Low Value Customer
281,5,78.46,Low Value Customer
105,3,65.32,Medium Value Customer
272,3,253.3,Low Value Customer
378,1,23.45,Low Value Customer
189,4,183.71,Low Value Customer
14,15,691.8399999999999,Medium Value Customer
48,6,377.35,Medium Value Customer
70,1,26.78,Medium Value Customer
91,1,66.88,Medium Value Customer
150,2,250.19,Low Value Customer
24,12,398.08,Medium Value Customer
119,3,40.84,Medium Value Customer
156,2,117.23,Low Value Customer
48,6,312.52,Medium Value Customer
213,2,253.58,Low Value Customer
143,4,110.97,Medium Value Customer
27,3,52.92,Medium Value Customer
18,2,116.9,Medium Value Customer
189,1,4.65,Low Value Customer
30,2,251.94000000000003,Medium Value Customer
65,7,190.15,Medium Value Customer
73,1,66.00999999999999,Medium Value Customer
309,3,174.48,Low Value Customer
90,6,452.78,Medium Value Customer
16,2,133.9,Medium Value Customer
268,1,13.79,Low Value Customer
72,11,514.17,Medium Value Customer
15,8,1086.16,Medium Value Customer
16,7,102.34,Medium Value Customer
23,6,1188.64,Medium Value Customer
44,1,73.48,Medium Value Customer
283,1,34.190000000000005,Low Value Customer
8,5,444.45,Medium Value Customer
330,2,14.04,Low Value Customer
21,2,300.68,Medium Value Customer
266,2,166.39,Low Value Customer
49,3,57.4,Medium Value Customer
52,4,148.48,Medium Value Customer
36,5,416.09,Medium Value Customer
88,2,78.09,Medium Value Customer
50,4,102.67000000000002,Medium Value Customer
10,38,1748.73,Medium Value Customer
295,1,16.2,Low Value Customer
105,2,73.55,Medium Value Customer
216,6,219.8,Low Value Customer
85,2,193.84,Medium Value Customer
48,3,214.15,Medium Value Customer
97,5,191.57,Medium Value Customer
111,5,406.93000000000006,Medium Value Customer
94,2,76.89,Medium Value Customer
58,2,147.17999999999998,Medium Value Customer
16,6,416.6400000000001,Medium Value Customer
269,1,27.55,Low Value Customer
25,2,137.9,Medium Value Customer
18,10,411.21,Medium Value Customer
147,2,70.27000000000001,Low Value Customer
9,11,1056.37,Medium Value Customer
296,1,75.25,Low Value Customer
14,18,663.78,Medium Value Customer
10,6,205.3,Medium Value Customer
10,5,154.78,Medium Value Customer
372,1,37.66,Low Value Customer
43,1,66.67,Medium Value Customer
128,2,226.37999999999997,Medium Value Customer
57,2,46.05,Medium Value Customer
121,4,511.84,Medium Value Customer
11,4,194.29,Medium Value Customer
284,1,45.22,Low Value Customer
149,1,5.0,Low Value Customer
17,7,591.1,Medium Value Customer
318,1,19.04,Low Value Customer
29,3,59.66,Medium Value Customer
83,2,76.81,Medium Value Customer
70,3,69.2,Medium Value Customer
91,2,70.26,Medium Value Customer
59,1,71.35,Medium Value Customer
84,1,32.04,Medium Value Customer
13,6,234.21,Medium Value Customer
8,2,226.15,Medium Value Customer
