Recency,Frequency,Monetary,recency_score,frequeny_score,monetary_score,RFM_SCORE,Segments
63,4,425.93,3,4,5,34,Loyal Customer
32,2,127.6,4,2,3,42,Potential Loyalist
161,2,66.82000000000001,2,2,2,22,Hibernating
20,5,181.17999999999995,5,4,4,54,VIP
146,1,42.62,2,1,2,21,Hibernating
105,3,167.01999999999998,2,3,3,23,At Risk
23,6,75.34,4,4,2,44,Loyal Customer
13,12,239.55999999999995,5,5,4,55,VIP
46,1,15.0,3,1,1,31,About to Sleep
18,3,116.03,5,3,3,53,Potential Loyalist
46,1,24.349999999999994,3,1,1,31,About to Sleep
16,6,371.45,5,4,5,54,VIP
30,5,424.53999999999996,4,4,5,44,Loyal Customer
55,4,398.53,3,4,5,34,Loyal Customer
30,1,62.95000000000001,4,1,2,41,Promising
202,1,25.48,1,1,1,11,Hibernating
7,16,674.41,5,5,5,55,VIP
58,6,357.99,3,4,4,34,Loyal Customer
151,2,165.09000000000003,2,2,3,22,Hibernating
27,2,82.95,4,2,2,42,Potential Loyalist
98,5,432.41999999999996,2,4,5,24,At Risk
162,2,41.84,2,2,1,22,Hibernating
24,3,524.51,4,3,5,43,Potential Loyalist
190,1,25.55,1,1,1,11,Hibernating
34,2,182.04999999999998,4,2,4,42,Potential Loyalist
20,4,509.43999999999994,5,4,5,54,VIP
281,1,22.0,1,1,1,11,Hibernating
76,2,97.99000000000001,3,2,3,32,About to Sleep
27,3,29.850000000000005,4,3,1,43,Potential Loyalist
72,3,255.42000000000002,3,3,4,33,Need Attention
51,4,156.79999999999998,3,4,3,34,Loyal Customer
9,24,1272.18,5,5,5,55,VIP
79,3,137.51999999999998,2,3,3,23,At Risk
24,5,129.58,4,4,3,44,Loyal Customer
20,3,41.00000000000001,5,3,1,53,Potential Loyalist
76,1,15.0,3,1,1,31,About to Sleep
168,1,125.17999999999999,2,1,3,21,Hibernating
65,1,69.85000000000002,3,1,2,31,About to Sleep
67,3,345.7700000000001,3,3,4,33,Need Attention
78,1,9.65,2,1,1,21,Hibernating
15,10,434.44999999999993,5,5,5,55,VIP
266,2,21.849999999999998,1,2,1,12,Hibernating
156,2,15.0,2,2,1,22,Hibernating
59,2,27.150000000000002,3,2,1,32,About to Sleep
36,1,85.35,4,1,2,41,Promising
20,5,1094.7800000000002,5,4,5,54,VIP
27,2,91.21000000000001,4,2,3,42,Potential Loyalist
248,1,116.941,1,1,3,11,Hibernating
237,1,61.70000000000001,1,1,2,11,Hibernating
43,1,78.35,3,1,2,31,About to Sleep
195,2,381.86999999999995,1,2,5,12,Hibernating
50,4,88.4,3,4,2,34,Loyal Customer
197,2,49.150000000000006,1,2,2,12,Hibernating
17,6,230.30999999999997,5,4,4,54,VIP
9,23,1906.75,5,5,5,55,VIP
7,22,1386.9,5,5,5,55,VIP
7,8,432.5,5,5,5,55,VIP
13,1,4.8100000000000005,5,1,1,51,New Customer
122,1,284.92999999999995,2,1,4,21,Hibernating
62,1,19.55,3,1,1,31,About to Sleep
279,1,40.60000000000001,1,1,1,11,Hibernating
38,3,134.39999999999998,4,3,3,43,Potential Loyalist
63,1,78.92,3,1,2,31,About to Sleep
170,3,124.56000000000002,2,3,3,23,At Risk
76,2,81.39,3,2,2,32,About to Sleep
232,1,63.6,1,1,2,11,Hibernating
59,1,92.61,3,1,3,31,About to Sleep
171,4,202.19,2,4,4,24,At Risk
275,3,106.67,1,3,3,13,At Risk
25,5,540.63,4,4,5,44,Loyal Customer
10,9,412.49,5,5,5,55,VIP
8,17,740.03,5,5,5,55,VIP
253,2,118.76,1,2,3,12,Hibernating
7,10,422.64,5,5,5,55,VIP
30,7,1040.73,4,5,5,45,Loyal Customer
232,1,45.39,1,1,2,11,Hibernating
11,5,357.30999999999995,5,4,4,54,VIP
27,2,264.22999999999996,4,2,4,42,Potential Loyalist
25,3,165.65999999999997,4,3,3,43,Potential Loyalist
13,3,353.61999999999995,5,3,4,53,Potential Loyalist
29,4,56.53,4,4,2,44,Loyal Customer
84,3,165.07999999999996,2,3,3,23,At Risk
25,1,41.52,4,1,1,41,Promising
163,1,194.09999999999997,2,1,4,21,Hibernating
84,4,391.74000000000007,2,4,5,24,At Risk
31,3,462.3599999999999,4,3,5,43,Potential Loyalist
16,2,50.150000000000006,5,2,2,52,Potential Loyalist
14,1,25.45,5,1,1,51,New Customer
27,2,221.7,4,2,4,42,Potential Loyalist
175,1,25.53000000000001,2,1,1,21,Hibernating
267,1,114.06,1,1,3,11,Hibernating
101,4,340.81000000000006,2,4,4,24,At Risk
128,2,66.92,2,2,2,22,Hibernating
182,1,59.1,1,1,2,11,Hibernating
11,16,593.1600000000001,5,5,5,55,VIP
7,131,5771.37,5,5,5,55,VIP
41,4,684.3900000000001,4,4,5,44,Loyal Customer
86,1,113.71000000000002,2,1,3,21,Hibernating
27,9,114.26,4,5,3,45,Loyal Customer
101,5,538.78,2,4,5,24,At Risk
28,5,492.15999999999997,4,4,5,44,Loyal Customer
97,1,62.56,2,1,2,21,Hibernating
106,1,93.64999999999999,2,1,3,21,Hibernating
11,1,28.99,5,1,1,51,New Customer
114,6,178.68,2,4,4,24,At Risk
8,3,324.03,5,3,4,53,Potential Loyalist
17,1,90.08000000000001,5,1,2,51,New Customer
92,1,30.080000000000002,2,1,1,21,Hibernating
98,1,35.75,2,1,1,21,Hibernating
127,1,56.85000000000001,2,1,2,21,Hibernating
206,1,10.66,1,1,1,11,Hibernating
177,1,23.8,2,1,1,21,Hibernating
30,2,51.85000000000001,4,2,2,42,Potential Loyalist
309,1,2.12,1,1,1,11,Hibernating
99,1,65.00000000000001,2,1,2,21,Hibernating
38,3,166.96999999999997,4,3,3,43,Potential Loyalist
13,7,329.97,5,5,4,55,VIP
240,1,60.739999999999995,1,1,2,11,Hibernating
16,6,347.3299999999999,5,4,4,54,VIP
171,1,235.11999999999992,2,1,4,21,Hibernating
177,2,145.45,2,2,3,22,Hibernating
251,1,55.800000000000004,1,1,2,11,Hibernating
55,1,40.13000000000001,3,1,1,31,About to Sleep
105,4,107.10000000000001,2,4,3,24,At Risk
154,2,24.9,2,2,1,22,Hibernating
52,1,66.48,3,1,2,31,About to Sleep
15,5,132.76999999999998,5,4,3,54,VIP
176,1,72.79,2,1,2,21,Hibernating
13,2,56.05,5,2,2,52,Potential Loyalist
270,1,26.7,1,1,1,11,Hibernating
7,2,103.17000000000002,5,2,3,52,Potential Loyalist
63,1,15.77,3,1,1,31,About to Sleep
171,1,25.599999999999998,2,1,1,21,Hibernating
112,2,74.46000000000001,2,2,2,22,Hibernating
142,1,149.92000000000002,2,1,3,21,Hibernating
84,6,297.8,2,4,4,24,At Risk
35,1,99.78999999999999,4,1,3,41,Promising
107,2,133.51,2,2,3,22,Hibernating
23,4,175.75,4,4,4,44,Loyal Customer
77,3,136.80999999999997,2,3,3,23,At Risk
25,1,46.84999999999999,4,1,2,41,Promising
10,3,65.85000000000001,5,3,2,53,Potential Loyalist
207,2,269.19,1,2,4,12,Hibernating
176,2,62.129999999999995,2,2,2,22,Hibernating
20,2,60.0,5,2,2,52,Potential Loyalist
143,3,83.35,2,3,2,23,At Risk
41,2,62.389999999999986,4,2,2,42,Potential Loyalist
100,1,62.1,2,1,2,21,Hibernating
39,7,283.42999999999995,4,5,4,45,Loyal Customer
253,1,16.29,1,1,1,11,Hibernating
36,9,58.449999999999996,4,5,2,45,Loyal Customer
163,2,114.84,2,2,3,22,Hibernating
7,6,157.05999999999997,5,4,3,54,VIP
192,1,34.940000000000005,1,1,1,11,Hibernating
105,2,34.67,2,2,1,22,Hibernating
69,41,2212.1400000000003,3,5,5,35,Loyal Customer
31,11,930.2,4,5,5,45,Loyal Customer
211,1,263.4699999999999,1,1,4,11,Hibernating
15,9,693.09,5,5,5,55,VIP
9,13,574.29,5,5,5,55,VIP
79,3,145.99999999999994,2,3,3,23,At Risk
11,17,681.69,5,5,5,55,VIP
46,2,32.05,3,2,1,32,About to Sleep
24,19,380.28999999999996,4,5,5,45,Loyal Customer
84,2,204.21,2,2,4,22,Hibernating
324,1,15.58,1,1,1,11,Hibernating
29,1,43.61,4,1,2,41,Promising
317,1,63.55,1,1,2,11,Hibernating
23,4,338.45,4,4,4,44,Loyal Customer
119,1,99.5,2,1,3,21,Hibernating
69,5,260.75,3,4,4,34,Loyal Customer
203,4,429.85,1,4,5,14,At Risk
14,4,155.85000000000002,5,4,3,54,VIP
78,4,250.35000000000002,2,4,4,24,At Risk
25,1,101.52000000000001,4,1,3,41,Promising
100,1,57.25000000000001,2,1,2,21,Hibernating
335,1,42.12,1,1,1,11,Hibernating
261,1,24.0,1,1,1,11,Hibernating
67,2,363.43,3,2,5,32,About to Sleep
21,5,177.4,5,4,4,54,VIP
150,1,1.16,2,1,1,21,Hibernating
20,2,266.76,5,2,4,52,Potential Loyalist
116,2,118.11999999999999,2,2,3,22,Hibernating
39,6,731.6300000000001,4,4,5,44,Loyal Customer
15,3,109.00000000000001,5,3,3,53,Potential Loyalist
323,1,95.32,1,1,3,11,Hibernating
17,3,281.53000000000003,5,3,4,53,Potential Loyalist
81,1,24.369999999999997,2,1,1,21,Hibernating
7,11,962.07,5,5,5,55,VIP
39,2,104.17999999999999,4,2,3,42,Potential Loyalist
27,2,147.72,4,2,3,42,Potential Loyalist
36,2,198.83,4,2,4,42,Potential Loyalist
43,8,250.80000000000004,3,5,4,35,Loyal Customer
23,2,148.42,4,2,3,42,Potential Loyalist
25,1,61.650000000000006,4,1,2,41,Promising
23,4,127.33000000000001,4,4,3,44,Loyal Customer
29,1,102.04000000000002,4,1,3,41,Promising
154,3,1.18,2,3,1,23,At Risk
38,1,59.58,4,1,2,41,Promising
217,1,98.35,1,1,3,11,Hibernating
23,2,42.050000000000004,4,2,1,42,Potential Loyalist
301,1,63.06,1,1,2,11,Hibernating
55,1,69.19999999999999,3,1,2,31,About to Sleep
64,1,47.019999999999996,3,1,2,31,About to Sleep
70,1,93.59,3,1,3,31,About to Sleep
218,2,181.07999999999998,1,2,4,12,Hibernating
37,2,105.26,4,2,3,42,Potential Loyalist
66,3,168.7,3,3,3,33,Need Attention
21,5,103.97000000000001,5,4,3,54,VIP
193,1,672.3500000000001,1,1,5,11,Hibernating
10,8,131.83999999999997,5,5,3,55,VIP
42,1,9.549999999999999,4,1,1,41,Promising
14,3,256.97,5,3,4,53,Potential Loyalist
84,3,297.97,2,3,4,23,At Risk
42,4,146.05,4,4,3,44,Loyal Customer
213,3,77.5,1,3,2,13,At Risk
8,39,1827.1,5,5,5,55,VIP
32,2,133.54999999999998,4,2,3,42,Potential Loyalist
35,8,86.28,4,5,2,45,Loyal Customer
234,1,1.89,1,1,1,11,Hibernating
53,4,644.49,3,4,5,34,Loyal Customer
36,1,14.19,4,1,1,41,Promising
20,7,180.23,5,5,4,55,VIP
34,17,106.91,4,5,3,45,Loyal Customer
181,8,195.10999999999996,2,5,4,25,Can't Loose
22,5,604.3399999999999,4,4,5,44,Loyal Customer
378,1,3.39,1,1,1,11,Hibernating
17,8,398.35,5,5,5,55,VIP
105,5,227.57999999999998,2,4,4,24,At Risk
21,5,19.76,5,4,1,54,VIP
366,1,44.440000000000005,1,1,2,11,Hibernating
7,1,87.55,5,1,2,51,New Customer
200,2,107.80000000000001,1,2,3,12,Hibernating
298,1,75.58,1,1,2,11,Hibernating
78,1,66.35,2,1,2,21,Hibernating
15,1,50.33,5,1,2,51,New Customer
372,2,14.399999999999999,1,2,1,12,Hibernating
24,14,1580.9,4,5,5,45,Loyal Customer
28,9,348.65000000000003,4,5,4,45,Loyal Customer
164,1,130.36,2,1,3,21,Hibernating
280,1,31.15,1,1,1,11,Hibernating
326,3,42.29,1,3,2,13,At Risk
183,5,887.0500000000001,1,4,5,14,At Risk
42,2,211.59,4,2,4,42,Potential Loyalist
126,1,14.450000000000001,2,1,1,21,Hibernating
55,4,143.48999999999998,3,4,3,34,Loyal Customer
21,1,65.05,5,1,2,51,New Customer
7,5,313.94,5,4,4,54,VIP
79,1,94.17,2,1,3,21,Hibernating
13,2,174.91,5,2,4,52,Potential Loyalist
244,1,22.95,1,1,1,11,Hibernating
22,6,475.86,4,4,5,44,Loyal Customer
8,32,301.4600000000001,5,5,4,55,VIP
55,4,231.11999999999998,3,4,4,34,Loyal Customer
55,1,25.249999999999996,3,1,1,31,About to Sleep
207,1,111.96000000000001,1,1,3,11,Hibernating
78,6,446.11,2,4,5,24,At Risk
20,7,203.56999999999996,5,5,4,55,VIP
143,3,160.61999999999998,2,3,3,23,At Risk
27,5,423.40999999999997,4,4,5,44,Loyal Customer
371,1,111.29999999999998,1,1,3,11,Hibernating
28,9,74.22000000000001,4,5,2,45,Loyal Customer
36,7,447.11999999999995,4,5,5,45,Loyal Customer
240,1,32.39000000000001,1,1,1,11,Hibernating
70,10,395.30000000000007,3,5,5,35,Loyal Customer
62,3,154.87999999999997,3,3,3,33,Need Attention
139,10,74.8,2,5,2,25,Can't Loose
59,4,27.299999999999997,3,4,1,34,Loyal Customer
31,1,70.54,4,1,2,41,Promising
367,1,27.299999999999997,1,1,1,11,Hibernating
87,4,118.28999999999999,2,4,3,24,At Risk
17,1,126.10000000000001,5,1,3,51,New Customer
36,4,122.03999999999999,4,4,3,44,Loyal Customer
134,3,91.38000000000001,2,3,3,23,At Risk
367,1,127.30000000000001,1,1,3,11,Hibernating
46,20,1682.02,3,5,5,35,Loyal Customer
58,2,52.519999999999996,3,2,2,32,About to Sleep
28,18,1082.2000000000003,4,5,5,45,Loyal Customer
73,2,116.12,3,2,3,32,About to Sleep
221,1,65.95,1,1,2,11,Hibernating
39,2,58.44000000000001,4,2,2,42,Potential Loyalist
314,1,7.8,1,1,1,11,Hibernating
16,2,21.410000000000004,5,2,1,52,Potential Loyalist
14,1,12.65,5,1,1,51,New Customer
71,3,185.07,3,3,4,33,Need Attention
13,17,985.94,5,5,5,55,VIP
74,1,358.56,3,1,4,31,About to Sleep
80,6,523.4200000000001,2,4,5,24,At Risk
55,7,475.64,3,5,5,35,Loyal Customer
21,6,231.94,5,4,4,54,VIP
204,2,134.35999999999999,1,2,3,12,Hibernating
16,8,441.96000000000015,5,5,5,55,VIP
71,1,25.3,3,1,1,31,About to Sleep
170,1,175.87999999999997,2,1,4,21,Hibernating
112,2,145.67000000000002,2,2,3,22,Hibernating
373,1,26.589999999999996,1,1,1,11,Hibernating
130,4,62.980000000000004,2,4,2,24,At Risk
16,2,12.55,5,2,1,52,Potential Loyalist
10,1,184.32999999999998,5,1,4,51,New Customer
49,5,1016.37,3,4,5,34,Loyal Customer
34,7,420.46000000000004,4,5,5,45,Loyal Customer
71,1,4.05,3,1,1,31,About to Sleep
11,2,50.51,5,2,2,52,Potential Loyalist
73,1,34.339999999999996,3,1,1,31,About to Sleep
326,1,57.95,1,1,2,11,Hibernating
41,9,575.74,4,5,5,45,Loyal Customer
226,4,302.1899999999999,1,4,4,14,At Risk
92,4,133.87,2,4,3,24,At Risk
240,3,538.08,1,3,5,13,At Risk
134,10,1228.71,2,5,5,25,Can't Loose
43,2,104.33,3,2,3,32,About to Sleep
98,1,64.44,2,1,2,21,Hibernating
15,17,1082.66,5,5,5,55,VIP
78,5,260.71,2,4,4,24,At Risk
31,2,25.790000000000003,4,2,1,42,Potential Loyalist
8,18,1704.12,5,5,5,55,VIP
220,1,20.2,1,1,1,11,Hibernating
62,6,801.3800000000001,3,4,5,34,Loyal Customer
263,1,52.75,1,1,2,11,Hibernating
71,1,161.76999999999995,3,1,3,31,About to Sleep
193,1,73.78999999999999,1,1,2,11,Hibernating
172,3,79.84,2,3,2,23,At Risk
55,9,833.47,3,5,5,35,Loyal Customer
122,1,27.500000000000004,2,1,1,21,Hibernating
192,2,88.55,1,2,2,12,Hibernating
15,5,264.21999999999997,5,4,4,54,VIP
51,2,88.30000000000001,3,2,2,32,About to Sleep
11,15,1257.1399999999999,5,5,5,55,VIP
101,3,48.8,2,3,2,23,At Risk
254,1,49.27,1,1,2,11,Hibernating
53,2,62.08,3,2,2,32,About to Sleep
153,3,108.19999999999999,2,3,3,23,At Risk
99,1,35.85,2,1,1,21,Hibernating
8,8,501.64000000000004,5,5,5,55,VIP
8,32,1682.02,5,5,5,55,VIP
59,1,27.689999999999998,3,1,1,31,About to Sleep
43,3,47.79999999999999,3,3,2,33,Need Attention
13,18,2657.35,5,5,5,55,VIP
66,9,100.0,3,5,3,35,Loyal Customer
67,1,2.54,3,1,1,31,About to Sleep
133,1,0.85,2,1,1,21,Hibernating
321,6,211.05,1,4,4,14,At Risk
24,1,184.93,4,1,4,41,Promising
368,1,85.77000000000001,1,1,2,11,Hibernating
59,1,83.12,3,1,2,31,About to Sleep
10,103,3953.0800000000004,5,5,5,55,VIP
7,12,494.4200000000001,5,5,5,55,VIP
371,1,31.810000000000002,1,1,1,11,Hibernating
56,7,425.05000000000007,3,5,5,35,Loyal Customer
15,48,2375.4300000000003,5,5,5,55,VIP
10,2,10.280000000000001,5,2,1,52,Potential Loyalist
30,17,2137.63,4,5,5,45,Loyal Customer
140,3,107.64,2,3,3,23,At Risk
7,14,581.8500000000001,5,5,5,55,VIP
79,2,44.32,2,2,2,22,Hibernating
57,3,21.95,3,3,1,33,Need Attention
55,1,20.4,3,1,1,31,About to Sleep
55,5,231.3,3,4,4,34,Loyal Customer
14,2,48.91,5,2,2,52,Potential Loyalist
193,1,72.65,1,1,2,11,Hibernating
79,5,492.1900000000001,2,4,5,24,At Risk
360,1,23.659999999999997,1,1,1,11,Hibernating
183,1,2.95,1,1,1,11,Hibernating
8,14,739.2,5,5,5,55,VIP
372,1,89.53999999999999,1,1,2,11,Hibernating
21,6,447.32,5,4,5,54,VIP
7,12,274.34,5,5,4,55,VIP
18,4,355.9500000000001,5,4,4,54,VIP
310,1,16.65,1,1,1,11,Hibernating
114,2,144.66999999999996,2,2,3,22,Hibernating
27,1,163.25999999999996,4,1,3,41,Promising
165,1,91.03,2,1,3,21,Hibernating
8,7,277.82,5,5,4,55,VIP
273,1,8.5,1,1,1,11,Hibernating
94,2,20.25,2,2,1,22,Hibernating
60,4,332.57,3,4,4,34,Loyal Customer
101,1,25.349999999999998,2,1,1,21,Hibernating
44,2,61.3,3,2,2,32,About to Sleep
133,1,54.25,2,1,2,21,Hibernating
17,8,553.23,5,5,5,55,VIP
28,8,1770.6099999999997,4,5,5,45,Loyal Customer
14,2,124.51,5,2,3,52,Potential Loyalist
79,1,231.50999999999996,2,1,4,21,Hibernating
8,3,216.26,5,3,4,53,Potential Loyalist
27,12,624.26,4,5,5,45,Loyal Customer
226,1,62.75,1,1,2,11,Hibernating
73,1,9.25,3,1,1,31,About to Sleep
158,2,8.5,2,2,1,22,Hibernating
31,14,1539.2000000000003,4,5,5,45,Loyal Customer
126,3,54.75,2,3,2,23,At Risk
267,2,362.19000000000005,1,2,5,12,Hibernating
59,7,485.85,3,5,5,35,Loyal Customer
41,3,301.23999999999995,4,3,4,43,Potential Loyalist
10,3,211.11999999999995,5,3,4,53,Potential Loyalist
27,3,291.51,4,3,4,43,Potential Loyalist
51,5,299.44999999999993,3,4,4,34,Loyal Customer
30,1,43.99000000000001,4,1,2,41,Promising
142,1,144.39000000000001,2,1,3,21,Hibernating
22,11,416.25,4,5,5,45,Loyal Customer
252,1,10.7,1,1,1,11,Hibernating
211,2,51.699999999999996,1,2,2,12,Hibernating
55,1,3.63,3,1,1,31,About to Sleep
56,1,77.34,3,1,2,31,About to Sleep
32,1,43.6,4,1,2,41,Promising
184,1,157.70999999999998,1,1,3,11,Hibernating
204,1,28.849999999999998,1,1,1,11,Hibernating
42,1,1.45,4,1,1,41,Promising
9,10,553.55,5,5,5,55,VIP
11,10,2507.7300000000005,5,5,5,55,VIP
224,2,145.9,1,2,3,12,Hibernating
72,1,39.400000000000006,3,1,1,31,About to Sleep
39,10,802.29,4,5,5,45,Loyal Customer
260,1,70.84,1,1,2,11,Hibernating
249,1,15.05,1,1,1,11,Hibernating
23,1,53.07,4,1,2,41,Promising
36,6,93.67,4,4,3,44,Loyal Customer
266,3,16.1,1,3,1,13,At Risk
186,3,43.349999999999994,1,3,2,13,At Risk
300,1,110.83,1,1,3,11,Hibernating
177,4,273.56,2,4,4,24,At Risk
63,1,16.3,3,1,1,31,About to Sleep
56,1,99.35000000000001,3,1,3,31,About to Sleep
85,3,230.64999999999998,2,3,4,23,At Risk
251,1,47.24,1,1,2,11,Hibernating
29,2,242.92999999999998,4,2,4,42,Potential Loyalist
8,25,175.83999999999997,5,5,4,55,VIP
144,4,192.23000000000002,2,4,4,24,At Risk
36,7,297.05000000000007,4,5,4,45,Loyal Customer
28,6,191.56,4,4,4,44,Loyal Customer
373,1,215.23000000000002,1,1,4,11,Hibernating
